year,month,start,endofperiod,sales,value(E),unsold(Kg)
2016,3,1/3/2016,31/3/2016,198566,693657,535
2016,4,1/4/2016,30/4/2016,216568,729928,50
2016,5,1/5/2016,31/5/2016,195849,586488,0
2016,6,1/6/2016,30/6/2016,89190,239223,0
2016,7,1/7/2016,31/7/2016,94016,174930,0
2016,8,1/8/2016,31/8/2016,106515,288465,568
2016,9,1/9/2016,30/9/2016,60373,211964,82
2016,10,1/10/2016,31/10/2016,493356,1493264,0
2016,11,1/11/2016,30/11/2016,271268,1128087,675
2016,12,1/12/2016,31/12/2016,511843,1855870,1
2017,1,1/1/2017,31/1/2017,340958,1107386,0
2017,2,1/2/2017,28/2/2017,277674,964104,0
2017,3,1/3/2017,31/3/2017,283335,1011103,0
2017,4,1/4/2017,30/4/2017,293366,992691,0
2017,5,1/5/2017,31/5/2017,150201,524569,0
2017,6,1/6/2017,30/6/2017,76878,257545,0
2017,7,1/7/2017,31/7/2017,109999,287223,110
2017,8,1/8/2017,31/8/2017,124113,401421,350
2017,9,1/9/2017,30/9/2017,85873,264100,0
2017,10,1/10/2017,31/10/2017,432146,1339892,42049
2017,11,1/11/2017,30/11/2017,535856,1763276,0
2017,12,1/12/2017,31/12/2017,605243,2033672,7081
2018,1,1/1/2018,31/1/2018,458088,1402053,8396
2018,2,1/2/2018,28/2/2018,358836,1072376,0
2018,3,1/3/2018,31/3/2018,438527,1363422,108
2018,4,1/4/2018,30/4/2018,397900,1179807,6298
2018,5,1/5/2018,31/5/2018,187756,671176,0
2018,6,1/6/2018,30/6/2018,92236,310379,0
2018,7,1/7/2018,31/7/2018,94658,295144,0
2018,8,1/8/2018,31/8/2018,82597,258535,0
2018,9,1/9/2018,30/9/2018,71504,262653,0
2018,10,1/10/2018,31/10/2018,417304,1210065,7325
2018,11,1/11/2018,30/11/2018,421001,1181815,20164
2018,12,1/12/2018,31/12/2018,557513,1635158,7669
2019,1,1/1/2019,31/1/2019,652310,1595188,0
2019,2,1/2/2019,28/2/2019,630953,1406242,0
2019,3,1/3/2019,31/3/2019,544266,1114121,0
2019,4,1/4/2019,30/4/2019,463168,1090849,25
2019,5,1/5/2019,31/5/2019,273062,660774,0
2019,6,1/6/2019,30/6/2019,112045,258778,0
2019,7,1/7/2019,31/7/2019,126356,294172,0
2019,8,1/8/2019,31/8/2019,91717,252788,0
2019,9,1/9/2019,30/9/2019,69485,217021,0
2019,10,1/10/2019,31/10/2019,557541,1785946,0
2019,11,1/11/2019,30/11/2019,551649,1894700,0
2019,12,1/12/2019,31/12/2019,684516,2404245,0
2020,1,1/1/2020,31/1/2020,614265,1520197,0
2020,2,1/2/2020,29/2/2020,457718,1161239,0
2020,3,1/3/2020,31/3/2020,517769,1164086,0
2020,4,1/4/2020,30/4/2020,474270,1132632,0
2020,5,1/5/2020,31/5/2020,265936,567504,0
2020,6,1/6/2020,30/6/2020,160410,311931,0
2020,7,1/7/2020,31/7/2020,163852,287033,0
2020,8,1/8/2020,31/8/2020,119612,310875,0
2020,9,1/9/2020,30/9/2020,142726,249527,623
